epoch,loss,ppl,accuracy
0, 7.87377, 2627.44208,11.389
1, 6.00358, 404.87592,20.781
2, 5.48115, 240.12218,24.012
3, 5.18679, 178.89305,29.104
4, 4.87518, 130.99820,32.901
5, 4.46993, 87.35088,37.624
6, 4.27821, 72.11127,39.426
7, 4.13522, 62.50355,40.831
8, 4.02649, 56.06378,41.805
9, 3.89648, 49.22878,43.466
10, 3.81022, 45.16034,44.343
11, 3.71295, 40.97442,45.746
12, 3.63163, 37.77431,46.770
13, 3.56455, 35.32351,47.600
14, 3.48885, 32.74817,48.670
15, 3.42385, 30.68725,49.610
16, 3.36859, 29.03751,50.342
17, 3.31901, 27.63290,50.917
18, 3.26375, 26.14751,51.717
19, 3.22178, 25.07278,52.246
20, 3.17877, 24.01708,52.810
21, 3.15703, 23.50071,53.028
22, 3.10965, 22.41318,53.764
23, 3.08846, 21.94317,53.949
24, 3.06060, 21.34046,54.333
25, 3.03783, 20.86000,54.516
26, 3.00741, 20.23500,54.883
27, 2.98604, 19.80706,55.198
28, 2.97650, 19.61912,55.242
29, 2.96820, 19.45690,55.377
30, 2.96052, 19.30804,55.354
31, 2.96372, 19.36986,55.132
32, 2.93529, 18.82688,55.713
33, 2.99145, 19.91452,54.590
34, 2.97510, 19.59160,54.775
35, 2.95470, 19.19603,55.046
36, 2.96291, 19.35418,54.752
37, 2.89936, 18.16253,56.032
38, 2.93036, 18.73440,55.333
39, 2.84999, 17.28764,56.972
40, 2.81208, 16.64456,57.813
41, 2.95578, 19.21670,54.776
42, 2.85097, 17.30457,56.751
43, 2.74363, 15.54328,59.195
44, 2.81455, 16.68569,57.528
45, 2.67874, 14.56675,60.530
46, 2.63140, 13.89316,61.604
47, 2.62046, 13.74210,61.854
48, 2.59354, 13.37710,62.376
49, 2.62713, 13.83396,61.674
50, 2.53248, 12.58469,63.883
51, 2.50840, 12.28520,64.489
52, 2.46595, 11.77467,65.586
53, 2.41711, 11.21345,66.850
54, 2.41650, 11.20655,66.880
55, 2.40358, 11.06272,67.120
56, 2.36164, 10.60837,68.238
57, 2.34719, 10.45618,68.607
58, 2.30367, 10.01084,69.820
59, 2.29730, 9.94732,69.933
60, 2.34075, 10.38906,68.791
61, 2.26696, 9.65000,70.748
62, 2.22552, 9.25827,72.027
63, 2.20668, 9.08549,72.595
64, 2.23146, 9.31350,71.802
65, 2.17687, 8.81870,73.458
66, 2.14953, 8.58084,74.236
67, 2.15780, 8.65206,74.029
68, 2.12939, 8.40974,74.942
69, 2.11517, 8.29096,75.221
70, 2.09344, 8.11281,75.933
71, 2.09373, 8.11510,75.926
72, 2.07453, 7.96084,76.409
73, 2.04383, 7.72014,77.463
74, 2.04499, 7.72910,77.469
75, 2.04438, 7.72436,77.533
76, 2.02369, 7.56620,78.080
77, 2.00272, 7.40915,78.756
78, 1.98496, 7.27876,79.356
79, 1.99929, 7.38381,78.917
